year,sex,country,state,time,activity,type,deadly_attack
2022,Male,BAHAMAS,Unknown,Night,Diving,Unprovoked,N
2022,Male,USA,Mississippi,Night,Fishing,Provoked,N
2022,Male,USA,Hawaii,Afternoon,Snorkeling,Unprovoked,N
2022,Male,AUSTRALIA,South Australia,Morning,Surf,Unprovoked,N
2022,Male,USA,Florida,Night,Fishing,Provoked,N
2022,Male,USA,Louisiana,Night,Shipwreck,Unprovoked,N
2022,Male,AUSTRALIA,Western  Australia,Morning,Fishing,Unprovoked,N
2022,Male,AUSTRALIA,Victoria,Evening,Surf,Unprovoked,N
2022,Male,USA,California,Afternoon,Surf,Unprovoked,N
2022,Female,SOUTH AFRICA,Western Cape Province,Morning,Swimming,Unprovoked,Y
2022,Male,USA,Florida,Night,Fishing,Unprovoked,N
2022,Female,BAHAMAS,Unknown,Afternoon,Snorkeling,Unprovoked,Y
2022,Female,USA,Hawaii,Evening,Swimming,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Night,Kayaking,Unprovoked,N
2022,Female,USA,South Carolina,Morning,Swimming,Unprovoked,N
2022,Female,USA,South Carolina,Afternoon,Standing,Unprovoked,N
2022,Male,AUSTRALIA,Westerm Australia,Night,Fishing,Unprovoked,N
2022,Male,USA,Florida,Evening,Snorkeling,Unprovoked,N
2022,Male,USA,California,Morning,Paddle boarding,Unprovoked,N
2022,Female,ENGLAND,Cornwall,Afternoon,Snorkeling,Unprovoked,N
2022,Male,USA,Florida,Night,Lobstering,Unprovoked,N
2022,Male,USA,Florida,Afternoon,Wading,Unprovoked,N
2022,Male,USA,New York,Evening,Surf,Unprovoked,N
2022,Unknown,USA,Florida,Morning,Unknown,Unknown,N
2022,Female,USA,Noirth Carolina,Morning,Surf,Unprovoked,N
2022,Male,USA,Florida,Evening,Fishing,Provoked,N
2022,Female,USA,Florida,Afternoon,Unknown,Unprovoked,N
2022,Male,USA,New York,Evening,Unknown,Unprovoked,N
2022,Male,USA,New York,Morning,Surf,Unprovoked,N
2022,Male,USA,Florida,Night,Surf,Unprovoked,N
2022,Male,USA,New York,Night,Lifeguard Training Exercise,Unprovoked,N
2022,Male,JAPAN,Okinawa,Night,Snorkeling,Unprovoked,Y
2022,Male,USA,Florida,Morning,Surf,Unprovoked,N
2022,Male,USA,New York,Morning,Lifeguard Exercises,Unprovoked,N
2022,Female,INDONESIA,Bali,Night,Surf,Unprovoked,N
2022,Female,EGYPT,"Hurghada, Red Sea Governorate",Night,Snorkeling,Unprovoked,Y
2022,Female,EGYPT,"Hurghada, Red Sea Governorate",Night,Swimming,Unprovoked,Y
2022,Male,USA,New York,Afternoon,Swimming,Unprovoked,N
2022,Female,USA,Florida,Afternoon,Scalloping,Unprovoked,N
2022,Female,USA,Florida,Night,Swimming,Unprovoked,N
2022,Male,USA,Florida,Afternoon,Jumping,Unprovoked,N
2022,Male,SOUTH AFRICA,Western Cape Province,Afternoon,Swimming,Unprovoked,Y
2022,Male,JAMAICA,Unknown,Afternoon,Fishing,Unprovoked,N
2022,Female,USA,Florida,Night,Unknown,Unprovoked,N
2022,Male,USA,California,Morning,Swimming,Unprovoked,N
2022,Male,USA,South Carolina,Night,Unknown,Unprovoked,N
2022,Female,AUSTRALIA,Western Australia,Afternoon,Swimming,Unprovoked,N
2022,Unknown,AUSTRALIA,Western Australia,Night,Surf,Unprovoked,N
2022,Male,AUSTRALIA,Western Australia,Night,Diving,Unprovoked,N
2022,Male,BELIZE,Ambergris Cay,Night,Fishing,Provoked,N
2022,Male,MALDIVES,Unknown,Night,Fishing,Unprovoked,N
2022,Unknown,FRENCH POLYNESIA,Bora Bora,Night,Unknown,Unprovoked,N
2022,Male,USA,Georgia,Evening,Fishing,Provoked,N
2022,Male,THAILAND,Phuket,Afternoon,Playing in the water,Unprovoked,N
2022,Male,FRENCH POLYNESIA,Tahiti,Morning,Unknown,Unprovoked,N
2022,Male,AUSTRALIA,Unknown,Night,Paddle boarding,Unprovoked,N
2022,Unknown,USA,Florida,Evening,Unknown,Unprovoked,N
2022,Male,USA,Alabama,Afternoon,Swimming,Unprovoked,N
2022,Male,USA,Florida,Evening,Standing,Unprovoked,N
2022,Female,USA,New Jersey,Afternoon,Feeding a shark,Provoked,N
2022,Male,USA,Florida,Morning,Kayaking,Unprovoked,N
2022,Male,SOUTH AFRICA,KZN,Night,Unknown,Unknown,U
2022,Male,USA,Florida,Morning,Fishing,Provoked,U
2022,Male,COLOMBIA,Isla De San Andres,Night,Swimming,Unprovoked,Y
2022,Male,NEW ZEALAND,South Island,Night,Surf,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Afternoon,Surf,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Evening,Swimming,Unprovoked,N
2022,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2022,Male,USA,Florida,Afternoon,Fishing,Provoked,N
2022,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2022,Male,USA,California,Morning,Boogie boarding,Unprovoked,Y
2022,Male,BAHAMAS,Grand  Bahama Island,Afternoon,Diving,Unknown,N
2022,Male,AUSTRALIA,Queensland,Night,Fihing,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Evening,Swimming,Unprovoked,Y
2022,Male,MEXICO,Sonora,Morning,Surf,Unprovoked,Y
2022,Male,USA,Florida,Evening,Surf,Unprovoked,N
2022,Female,BAHAMAS,Unknown,Night,Unknown,Provoked,N
2022,Female,COSTA RICA,Guanacoste,Night,Diving,Unknown,U
2022,Female,AUSTRALIA,Western Australia,Morning,Floating ,Unprovoked,N
2022,Male,AUSTRALIA,New South Wales,Night,Swimming,Unprovoked,N
2022,Male,AUSTRALIA,Western Australia,Night,Snorkeling,Unprovoked,N
2022,Male,SOUTH AFRICA,KwaZulu-Natal,Morning,Fishing,Provoked,N
2022,Female,NEW ZEALAND,South Island,Evening,Swimming,Unprovoked,N
2022,Female,USA,Florida,Afternoon,Surf,Unprovoked,N
2022,Female,AUSTRALIA,New South Wales,Morning,Unknown,Unprovoked,N
2022,Male,AUSTRALIA,Western Australia,Night,Surf,Unprovoked,N
2021,Female,NEW ZEALAND,South Island,Night,Swimming,Unprovoked,N
2021,Female,USA,Florida,Night,Surf,Unprovoked,N
2021,Male,AUSTRALIA,Queensland,Morning,Fishing,Unprovoked,N
2021,Male,MEXICO,Quintana Roo,Night,Diving,Unprovoked,N
2021,Female,AUSTRALIA,Victoria,Evening,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,Victoria,Evening,Swimming,Unprovoked,N
2021,Male,USA,Hawaii,Night,Surf,Unprovoked,N
2021,Male,BRAZIL,São Paulo.,Afternoon,Playing,Unprovoked,U
2021,Female,USA,Hawaii,Morning,Fishing,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Morning,Swimming,Unprovoked,Y
2021,Male,BRAZIL,São Paulo.,Night,Swimming,Unprovoked,N
2021,Male,NEW ZEALAND,North Island,Night,Surf,Unprovoked,N
2021,Male,AUSTRALIA,Queensland,Night,Fishing,Unknown,U
2021,Male,AUSTRALIA,Queensland,Evening,Swimming,Unprovoked,N
2021,Male,USA,Florida,Night,Surf,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2021,Male,USA,California,Morning,Surf,Unprovoked,N
2021,Male,EGYPT,Unknown,Night,Swimming,Unknown,U
2021,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2021,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,Y
2021,Male,BRITISH OVERSEAS TERRITORY,Turks and Caicos,Night,Unknown,Unprovoked,N
2021,Male,USA,Louisiana,Afternoon,Fishing,Unprovoked,N
2021,Male,USA,Texas,Morning,Boogie boarding,Unprovoked,N
2021,Male,USA,Florida,Morning,Surf,Unprovoked,N
2021,Female,CANADA,Nova Scotia,Evening,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,Queensland,Night,Harassing sharks,Provoked,N
2021,Male,USA,Florida,Morning,Surf,Unprovoked,N
2021,Male,USA,Florida,Morning,Snorkeling,Unprovoked,N
2021,Male,USA,South Carolina,Morning,Unknown,Unprovoked,N
2021,Female,USA,Maryland,Afternoon,Swimming,Unprovoked,N
2021,Male,USA,Florida,Morning,Fishing,Provoked,N
2021,Male,USA,North Carolina,Afternoon,Standing,Unprovoked,N
2021,Male,USA,Georgia,Night,Surf,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Night,Fishing,Provoked,N
2021,Male,USA,New York,Morning,Swimming,Unprovoked,N
2021,Male,BRAZIL,Pernambuco,Night,Squatting in the water,Unprovoked,N
2021,Male,THAILAND,Chanthaburi Province,Night,Moving captive shark,Provoked,N
2021,Female,USA,California,Night,Surf,Unprovoked,N
2021,Female,USA,Florida,Afternoon,Unknown,Unknown,N
2021,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2021,Male,USA,Florida,Evening,Boogie boarding,Unprovoked,N
2021,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Surf,Unprovoked,N
2021,Male,BAHAMAS,Unknown,Night,Jackass Team's publicity stunt for Discovery Channel's Shark Week 2021,Provoked,N
2021,Female,USA,Florida,Evening,Playing,Unprovoked,N
2021,Male,USA,Florida,Night,Fishing,Unprovoked,Y
2021,Male,BRAZIL,Pernambuco,Afternoon,Wading,Unprovoked,Y
2021,Male,AUSTRALIA,New South Wales,Evening,Surf,Unprovoked,N
2021,Male,USA,Florida,Evening,Standing,Unprovoked,N
2021,Female,USA,BAHAMAS,Night,Fishing,Provoked,N
2021,Male,ECUADOR,Galapagos,Night,Diving,Unprovoked,N
2021,Male,USA,California,Morning,Canoe,Unprovoked,N
2021,Female,USA,Florida,Night,Surf,Unprovoked,U
2021,Female,USA,North Carolina,Morning,Swimming,Unprovoked,N
2021,Male,USA,California,Morning,Swimming,Unprovoked,N
2021,Male,JORDAN,Aqaba,Night,Parasailing,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Standing,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Swimming,Unprovoked,N
2021,Male,USA,Florida,Night,Standing,Unprovoked,N
2021,Male,USA,Florida,Night,Standing,Unprovoked,N
2021,Male,ENGLAND,West Sussex,Night,Fishing,Provoked,N
2021,Male,AUSTRALIA,Western Australia,Morning,Snorkeling,Unprovoked,N
2021,Male,NEW CALEDONIA,Nouville,Night,Fishing,Provoked,Y
2021,Male,USA,South Carolina,Night,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Morning,Fishing,Unprovoked,N
2021,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,Y
2021,Male,USA,Hawaii,Evening,Kite Foiling,Unprovoked,N
2021,Male,BELIZE,Ambergris Key,Morning,Baiting sharks,Provoked,N
2021,Female,USA,Florida,Morning,Wading,Unprovoked,N
2021,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2021,Male,JAMAICA,Westmoreland Parish,Morning,Fishing,Unprovoked,Y
2021,Female,USA,Florida,Morning,Surf,Unprovoked,N
2021,Male,USA,Florida,Morning,Boggie boarding,Unprovoked,N
2021,Male,FRENCH POLYNESIA,Tahiti,Morning,Canoe,Unprovoked,N
2021,Male,NEW CALEDONIA,Unknown,Night,Paddle boarding,Unprovoked,Y
2021,Female,USA,Hawaii,Morning,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Afternoon,Unknown,Unprovoked,N
2021,Unknown,USA,North Carolina,Night,Tagging sharks,Provoked,N
2021,Male,SOUTH AFRICA,KwaZulu-Natal,Afternoon,Fishing,Unprovoked,N
2021,Male,SOUTH AFRICA,Eastern Cape Province,Morning,Body boarding,Unprovoked,Y
2021,Male,USA,Florida,Night,Swimming,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Unknown,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Afternoon,Fishing,Unprovoked,N
2021,Male,FRENCH POLYNESIA,Marquesas,Night,Swimming,Unprovoked,N
2021,Female,USA,Florida,Morning,Unknown,Unprovoked,N
2021,Male,USA,Florida,Night,Swimming,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Afternoon,Paddle boarding,Unprovoked,N
2021,Male,USA,Florida,Afternoon,Wading,Unprovoked,N
2021,Male,NEW CALEDONIA,Loyalty Islands,Afternoon,Fishing,Unprovoked,N
2021,Male,NEW CALEDONIA,Unknown,Morning,Swimming,Unprovoked,Y
2021,Male,AUSTRALIA,Queensland,Evening,Fishing,Provoked,N
2021,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2021,Male,AUSTRALIA,South Australia,Evening,Surf,Sea Disaster,N
2021,Male,USA,Maui,Afternoon,Kayaking,Sea Disaster,N
2021,Female,AUSTRALIA,Western Australia,Morning,Swimming,Unprovoked,N
2021,Male,NEW ZEALAND,North Island,Night,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,New South Wales,Evening,Swimming,Unprovoked,N
2021,Unknown,USA,Florida,Night,Fishing,Sea Disaster,N
2021,Male,USA,Hawaii,Morning,Snorkeling,Unprovoked,N
2021,Male,AUSTRALIA,South Australia,Evening,Snorkeling,Unprovoked,Y
2021,Male,BRAZIL,Pernambuco,Night,Surf,Unprovoked,N
2021,Male,AUSTRALIA,Western Australia,Morning,Swimming,Unprovoked,N
2021,Male,AUSTRALIA,Victoria,Evening,Swimming,Unprovoked,N
2021,Female,ST KITTS / NEVIS,The Narrows,Morning,Swimming,Unprovoked,N
2021,Female,NEW ZEALAND,North Island,Evening,Swimming,Unprovoked,Y
2021,Male,USA,Florida,Morning,Surf,Unprovoked,N
2021,Male,USA,Florida,Morning,Surf,Unprovoked,N
2021,Female,USA,Hawaii,Morning,Swimming,Unprovoked,N
2020,Male,USA,California,Afternoon,Swimming,Unprovoked,N
2020,Male,MALDIVES,Raa Atoll,Morning,Fishing,Unprovoked,N
2020,Female,ST MARTIN,Unknown,Afternoon,Swimming,Unprovoked,Y
2020,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2020,Male,USA,Hawaii,Morning,Surf,Unprovoked,Y
2020,Male,USA,Oregon,Afternoon,Surf,Unprovoked,N
2020,Male,AUSTRALIA,South Australia,Afternoon,Surf,Unprovoked,N
2020,Female,EGYPT,South Sinai,Night,Diving,Unprovoked,N
2020,Female,USA,Hawaii,Afternoon,Snorkeling,Unprovoked,N
2020,Female,NEW CALEDONIA,South Province,Night,Snorkeling,Unprovoked,N
2020,Male,AUSTRALIA,Western Australia,Morning,Body boarding,Unprovoked,Y
2020,Male,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2020,Male,USA,Florida,Evening,Swimming,Unprovoked,N
2020,Male,BAHAMAS, Grand Bahama Island,Night,Fishing,Unprovoked,N
2020,Male,USA,"Franklin County, Florida",Afternoon,Surf,Unprovoked,N
2020,Unknown,EGYPT,South Sinai,Night,Snorkeling,Unprovoked,N
2020,Male,AUSTRALIA,Queensland,Afternoon,Fishing,Unprovoked,N
2020,Male,USA,North Carolina,Evening,Surf,Unknown,N
2020,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,Y
2020,Male,USA,Florida,Afternoon,Surf,Unprovoked,N
2020,Male,AUSTRALIA,Western Australia,Morning,Surf,Unprovoked,N
2020,Male,USA,Florida,Night,Unknown,Provoked,N
2020,Female,USA,Hawaii,Morning,Swimming,Unknown,N
2020,Male,USA,Florida,Morning,Snorkeling,Unprovoked,N
2020,Male,AUSTRALIA,Queensland,Evening,Fishing,Provoked,N
2020,Male,AUSTRALIA,New South Wales,Afternoon,Foil-boarding,Unprovoked,N
2020,Male,USA,Florida,Afternoon,Swimming,Unknown,N
2020,Male,USA,Florida,Morning,Surf,Unprovoked,N
2020,Male,USA,Florida,Morning,Surf,Unprovoked,N
2020,Male,USA,Florida,Night,Surf,Unknown,N
2020,Male,AUSTRALIA,Queensland,Evening,Surf,Unprovoked,Y
2020,Female,USA,Hawaii,Evening,Snorkeling,Unprovoked,N
2020,Male,USA,Florida,Night,Unknown,Unprovoked,N
2020,Unknown,AUSTRALIA,New South Wales,Afternoon,Fishing,Sea Disaster,N
2020,Male,USA,South Carolina,Morning,Surf,Unprovoked,N
2020,Male,USA,California,Afternoon,Fishing,Unprovoked,N
2020,Male,USA,Florida,Afternoon,Standing,Unprovoked,N
2020,Male,USA,Florida,Morning,Surf,Unprovoked,N
2020,Female,USA,Florida,Morning,Boogie boarding,Unprovoked,N
2020,Female,USA,South Carolina,Afternoon,Wading,Unknown,N
2020,Female,AUSTRALIA,New South Wales,Morning,Surf,Unprovoked,N
2020,Male,USA,Florida,Evening,Fishing,Provoked,N
2020,Female,USA,Virgin Islands,Afternoon,Snorkeling,Unprovoked,N
2020,Male,USA,North Carolina,Afternoon,Surf,Unprovoked,N
2020,Female,USA,Florida,Evening,Surf,Unprovoked,N
2020,Male,USA,Alabama,Afternoon,Swimming,Unprovoked,N
2020,Male,AUSTRALIA,Western Australia,Afternoon,Surf,Unprovoked,N
2020,Male,USA,Florida,Night,Diving,Unprovoked,N
2020,Unknown,AUSTRALIA,Tasmania,Morning,Sightseeing,Sea Disaster,U
2020,Male,FRENCH POLYNESIA,Tuamotu Islands,Evening,Swimming,Unprovoked,N
2020,Female,USA,Maine,Afternoon,Swimming,Unprovoked,Y
2020,Male,USA,Bahamas,Afternoon,Fishing,Unprovoked,N
2020,Male,USA,Florida,Night,Standing,Unprovoked,N
2020,Male,USA,North Carolina,Evening,Treading water,Unprovoked,N
2020,Female,USA,Florida,Afternoon,Wading,Unprovoked,N
2020,Male,AUSTRALIA,Tasmania,Afternoon,Fishing,Unprovoked,N
2020,Female,USA,Florida,Night,Wading,Unprovoked,N
2020,Female,AUSTRALIA,Queensland,Morning,Snorkeling,Unprovoked,N
2020,Male,AUSTRALIA,New South Wales,Afternoon,Surf,Unprovoked,Y
2020,Female,USA,Florida,Morning,Surf,Unprovoked,N
2020,Male,AUSTRALIA,Queensland,Afternoon,Fishing,Unprovoked,Y
2020,Male,USA,Florida,Night,Playing,Unprovoked,N
2020,Male,USA,North Carolina,Evening,Surf,Unprovoked,N
2020,Unknown,BAHAMAS,Exumas,Night,Unknown,Unprovoked,N
2020,Female,SOUTH AFRICA,KwaZulu-Natal,Afternoon,Surf,Unprovoked,N
2020,Male,NEW CALEDONIA,South Province,Afternoon,Surf,Unprovoked,Y
